Mission_ID,Mission_Name,year,Space_Era,Rocket,Country,Agency,Agency_Type,Commercial_Mission,Mission_Type,Payload_Type,Payload_Mass_kg,orbit,destination,Launch_Site,Launch_Success,Mission_Success,Failure_Reason,Booster_Landing,reusable,crewed,Crew_Count,Mission_Cost_USD_M,Cost_Per_kg,AI_Assisted,AI_Role,Cost_Efficiency,Mission_Complexity,Agency_Success_Rate
M0984,USSR_Zenit_L1970_068,1970,Cold War,Zenit,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,5007.0,SSO,SSO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,154.4,30836,0,No AI Used in Mission,32.43,6.551,0.8824034334763948
M0985,USSR_Soyuz_L1970_055,1970,Cold War,Soyuz,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,4609.0,GTO,GTO,Baikonur Site 1,1,1,No Failure,0,0,0,0,165.2,35842,0,No AI Used in Mission,27.9,6.261,0.8824034334763948
M0986,USSR_Cosmos-3M_L1970_044,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Resupply,Resupply,5608.0,ISS,ISS,Plesetsk LC-132,1,1,No Failure,0,0,0,0,120.0,21398,0,No AI Used in Mission,46.73,6.808,0.8824034334763948
M0987,USA_AtlasV_L1970_011,1970,Cold War,Atlas V,USA,USA,Private,1,Crew Module,Crew Module,617.0,ISS,ISS,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,115.1,186547,0,No AI Used in Mission,5.36,1.768,0.9441147378832839
M0988,USSR_Molniya_L1970_022,1970,Cold War,Molniya,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,2427.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,187.4,77214,0,No AI Used in Mission,12.95,4.301,0.8824034334763948
M0989,USSR_Cosmos-3M_L1970_075,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,5894.0,MEO,MEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,138.9,23566,0,No AI Used in Mission,42.43,7.283,0.8824034334763948
M0990,USSR_Cosmos-3M_L1970_028,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Crew Module,Crew Module,4374.0,HEO,HEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,182.3,41678,0,No AI Used in Mission,23.99,6.197,0.8824034334763948
M0991,USA_FalconHeavy_L1970_025,1970,Cold War,Falcon Heavy,USA,USA,Private,1,Comm Satellite,Comm Satellite,2692.0,GTO,GTO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,72.0,26745,0,No AI Used in Mission,37.39,3.412,0.9441147378832839
M0992,USSR_Zenit_L1970_081,1970,Cold War,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,2898.0,GTO,GTO,Baikonur LC-81,1,1,No Failure,0,0,0,0,142.7,49240,0,No AI Used in Mission,20.31,4.325,0.8824034334763948
M0993,USSR_Zenit_L1970_041,1970,Cold War,Zenit,USSR,USSR,Government,0,Crew Module,Crew Module,3237.0,GTO,GTO,Baikonur Site 1,1,1,No Failure,0,0,0,0,146.2,45165,0,No AI Used in Mission,22.14,4.699,0.8824034334763948
M0994,USA_Antares_L1970_017,1970,Cold War,Antares,USA,USA,Government,0,Earth Observation,Earth Observation,1345.0,Polar,Polar,Cape Canaveral SLC-40,0,0,Engine Failure,0,0,0,0,109.9,81710,0,No AI Used in Mission,12.24,2.444,0.9441147378832839
M0995,USSR_Proton_L1970_006,1970,Cold War,Proton,USSR,USSR,Government,0,Crew Module,Crew Module,7644.0,SSO,SSO,Baikonur Site 1,1,1,No Failure,0,0,0,0,71.4,9340,0,No AI Used in Mission,107.06,8.358,0.8824034334763948
M0996,USSR_Soyuz_L1970_021,1970,Cold War,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2751.0,GTO,GTO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,69.6,25299,0,No AI Used in Mission,39.53,3.447,0.8824034334763948
M0997,USA_FalconHeavy_L1970_021,1970,Cold War,Falcon Heavy,USA,USA,Government,0,Resupply,Resupply,4133.0,LEO,LEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,104.6,25308,0,No AI Used in Mission,39.51,5.179,0.9441147378832839
M0998,USSR_Zenit_L1970_060,1970,Cold War,Zenit,USSR,USSR,Government,0,Crew Module,Crew Module,3660.0,GTO,GTO,Plesetsk LC-132,0,0,Engine Failure,0,0,0,0,215.8,58961,0,No AI Used in Mission,16.96,5.818,0.8824034334763948
M0999,USSR_Soyuz_L1970_024,1970,Cold War,Soyuz,USSR,USSR,Government,0,Military Sat,Military Sat,1451.0,HEO,HEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,113.1,77946,0,No AI Used in Mission,12.83,2.582,0.8824034334763948
M1000,USA_DeltaIV_L1970_019,1970,Cold War,Delta IV,USA,USA,Private,1,Weather Satellite,Weather Satellite,6752.0,ISS,ISS,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,122.7,18172,0,No AI Used in Mission,55.03,7.979,0.9441147378832839
M1001,USSR_Zenit_L1970_027,1970,Cold War,Zenit,USSR,USSR,Government,0,Resupply,Resupply,7449.0,GEO,GEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,88.0,11813,0,No AI Used in Mission,84.65,8.329,0.8824034334763948
M1002,USA_DeltaII_L1970_004,1970,Cold War,Delta II,USA,USA,Private,1,Military Sat,Military Sat,6042.0,LEO,LEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,64.5,10675,0,No AI Used in Mission,93.67,6.686999999999999,0.9441147378832839
M1003,USSR_Cosmos-3M_L1970_023,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Military Sat,Military Sat,5192.0,GTO,GTO,Baikonur LC-81,1,1,No Failure,0,0,0,0,200.7,38655,0,No AI Used in Mission,25.87,7.199,0.8824034334763948
M1004,USA_Antares_L1970_013,1970,Cold War,Antares,USA,USA,Private,1,Comm Satellite,Comm Satellite,7862.0,ISS,ISS,Kennedy LC-39A,1,1,No Failure,0,0,0,0,141.4,17985,0,No AI Used in Mission,55.6,9.276,0.9441147378832839
M1005,USSR_Cosmos-3M_L1970_002,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Science Probe,Science Probe,876.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,118.9,135730,0,No AI Used in Mission,7.37,2.065,0.8824034334763948
M1006,USSR_Proton_L1970_047,1970,Cold War,Proton,USSR,USSR,Government,0,Science Probe,Science Probe,2668.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,246.7,92466,0,No AI Used in Mission,10.81,5.135,0.8824034334763948
M1007,USA_Antares_L1970_010,1970,Cold War,Antares,USA,USA,Government,0,Comm Satellite,Comm Satellite,5175.0,ISS,ISS,Kennedy LC-39A,1,1,No Failure,0,0,0,0,100.5,19420,0,No AI Used in Mission,51.49,6.18,0.9441147378832839
M1008,USSR_Zenit_L1970_077,1970,Cold War,Zenit,USSR,USSR,Government,0,Technology Demo,Technology Demo,1252.0,TLI,TLI,Baikonur LC-81,1,1,No Failure,0,0,0,0,161.3,128833,0,No AI Used in Mission,7.76,2.865,0.8824034334763948
M1009,USSR_Proton_L1970_032,1970,Cold War,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,6997.0,GTO,GTO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,141.8,20265,0,No AI Used in Mission,49.34,8.415,0.8824034334763948
M1010,USA_AtlasV_L1970_003,1970,Cold War,Atlas V,USA,USA,Private,1,Resupply,Resupply,1680.0,TLI,TLI,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,132.0,78571,0,No AI Used in Mission,12.73,3.0,0.9441147378832839
M1011,USSR_Cosmos-3M_L1970_046,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Resupply,Resupply,2607.0,GEO,GEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,173.8,66666,0,No AI Used in Mission,15.0,4.345000000000001,0.8824034334763948
M1012,USSR_Cosmos-3M_L1970_054,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Crew Module,Crew Module,6733.0,TLI,TLI,Plesetsk LC-132,1,1,No Failure,0,0,0,0,195.1,28976,0,No AI Used in Mission,34.51,8.684,0.8824034334763948
M1013,USSR_Proton_L1970_003,1970,Cold War,Proton,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,5172.0,MEO,MEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,67.1,12973,0,No AI Used in Mission,77.08,5.843,0.8824034334763948
M1014,USSR_Soyuz_L1970_070,1970,Cold War,Soyuz,USSR,USSR,Government,0,Earth Observation,Earth Observation,3520.0,ISS,ISS,Plesetsk LC-132,1,1,No Failure,0,0,0,0,124.1,35255,0,No AI Used in Mission,28.36,4.761,0.8824034334763948
M1015,USSR_Soyuz_L1970_005,1970,Cold War,Soyuz,USSR,USSR,Government,0,Science Probe,Science Probe,3399.0,ISS,ISS,Baikonur Site 1,1,1,No Failure,0,0,0,0,158.3,46572,0,No AI Used in Mission,21.47,4.982,0.8824034334763948
M1016,USSR_Zenit_L1970_015,1970,Cold War,Zenit,USSR,USSR,Government,0,Technology Demo,Technology Demo,2136.0,GEO,GEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,200.9,94054,0,No AI Used in Mission,10.63,4.145,0.8824034334763948
M1017,USSR_Proton_L1970_037,1970,Cold War,Proton,USSR,USSR,Government,0,Technology Demo,Technology Demo,7591.0,SSO,SSO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,183.6,24186,0,No AI Used in Mission,41.35,9.427,0.8824034334763948
M1018,USA_AtlasV_L1970_029,1970,Cold War,Atlas V,USA,USA,Government,0,Science Probe,Science Probe,7467.0,GTO,GTO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,85.4,11437,0,No AI Used in Mission,87.44,8.321,0.9441147378832839
M1019,USSR_Molniya_L1970_079,1970,Cold War,Molniya,USSR,USSR,Government,0,Crew Module,Crew Module,4817.0,SSO,SSO,Baikonur LC-81,1,1,No Failure,0,0,0,0,193.7,40211,0,No AI Used in Mission,24.87,6.754,0.8824034334763948
M1020,USSR_Molniya_L1970_038,1970,Cold War,Molniya,USSR,USSR,Government,0,Resupply,Resupply,1221.0,GEO,GEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,92.8,76003,0,No AI Used in Mission,13.16,2.149,0.8824034334763948
M1021,USA_NewGlenn_L1970_028,1970,Cold War,New Glenn,USA,USA,Private,1,Crew Module,Crew Module,3153.0,MEO,MEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,156.1,49508,0,No AI Used in Mission,20.2,4.714,0.9441147378832839
M1022,USSR_Proton_L1970_020,1970,Cold War,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,7886.0,LEO,LEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,67.7,8584,0,No AI Used in Mission,116.48,8.563,0.8824034334763948
M1023,USSR_Proton_L1970_053,1970,Cold War,Proton,USSR,USSR,Government,0,Resupply,Resupply,4926.0,TLI,TLI,Baikonur Site 1,1,1,No Failure,0,0,0,0,149.7,30389,0,No AI Used in Mission,32.91,6.423,0.8824034334763948
M1024,USSR_Proton_L1970_030,1970,Cold War,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,7935.0,HEO,HEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,136.4,17189,0,No AI Used in Mission,58.17,9.299,0.8824034334763948
M1025,USSR_Zenit_L1970_014,1970,Cold War,Zenit,USSR,USSR,Government,0,Resupply,Resupply,4386.0,Polar,Polar,Baikonur Site 1,1,1,No Failure,0,0,0,0,129.1,29434,0,No AI Used in Mission,33.97,5.677,0.8824034334763948
M1026,USSR_Soyuz_L1970_039,1970,Cold War,Soyuz,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,2379.0,LEO,LEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,116.5,48970,0,No AI Used in Mission,20.42,3.544,0.8824034334763948
M1027,USSR_Soyuz_L1970_045,1970,Cold War,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2113.0,TLI,TLI,Baikonur Site 1,1,1,No Failure,0,0,0,0,142.1,67250,0,No AI Used in Mission,14.87,3.534,0.8824034334763948
M1028,USSR_Molniya_L1970_061,1970,Cold War,Molniya,USSR,USSR,Government,0,Military Sat,Military Sat,3425.0,SSO,SSO,Baikonur Site 1,1,1,No Failure,0,0,0,0,68.2,19912,0,No AI Used in Mission,50.22,4.107,0.8824034334763948
M1029,USSR_Zenit_L1970_066,1970,Cold War,Zenit,USSR,USSR,Government,0,Resupply,Resupply,6555.0,MEO,MEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,197.1,30068,0,No AI Used in Mission,33.26,8.526,0.8824034334763948
M1030,USSR_Zenit_L1970_071,1970,Cold War,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,4450.0,Polar,Polar,Baikonur Site 1,1,1,No Failure,0,0,0,0,190.9,42898,0,No AI Used in Mission,23.31,6.359,0.8824034334763948
M1031,USSR_Proton_L1970_007,1970,Cold War,Proton,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,7427.0,GEO,GEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,94.5,12723,0,No AI Used in Mission,78.59,8.372,0.8824034334763948
M1032,USA_AtlasV_L1970_018,1970,Cold War,Atlas V,USA,USA,Private,1,Resupply,Resupply,6294.0,GTO,GTO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,76.8,12202,0,No AI Used in Mission,81.95,7.061999999999999,0.9441147378832839
M1033,USSR_Soyuz_L1970_018,1970,Cold War,Soyuz,USSR,USSR,Government,0,Crew Module,Crew Module,3007.0,SSO,SSO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,101.2,33654,0,No AI Used in Mission,29.71,4.019,0.8824034334763948
M1034,USA_Falcon9_L1970_020,1970,Cold War,Falcon 9,USA,USA,Government,0,Earth Observation,Earth Observation,1474.0,LEO,LEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,76.8,52103,0,No AI Used in Mission,19.19,2.242,0.9441147378832839
M1035,USSR_Proton_L1970_013,1970,Cold War,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,5404.0,TLI,TLI,Baikonur LC-81,0,0,Engine Failure,0,0,0,0,196.9,36436,0,No AI Used in Mission,27.45,7.373,0.8824034334763948
M1036,USSR_Cosmos-3M_L1970_010,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2003.0,SSO,SSO,Baikonur LC-81,1,1,No Failure,0,0,0,0,88.0,43934,0,No AI Used in Mission,22.76,2.883,0.8824034334763948
M1037,USSR_Cosmos-3M_L1970_029,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,4113.0,SSO,SSO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,82.3,20009,0,No AI Used in Mission,49.98,4.936,0.8824034334763948
M1038,USSR_Cosmos-3M_L1970_048,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,2193.0,ISS,ISS,Baikonur Site 1,0,0,Engine Failure,0,0,0,0,110.0,50159,0,No AI Used in Mission,19.94,3.293,0.8824034334763948
M1039,USSR_Soyuz_L1970_059,1970,Cold War,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,6158.0,MEO,MEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,159.5,25901,0,No AI Used in Mission,38.61,7.753,0.8824034334763948
M1040,USA_Antares_L1970_009,1970,Cold War,Antares,USA,USA,Private,1,Science Probe,Science Probe,3521.0,ISS,ISS,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,51.6,14654,0,No AI Used in Mission,68.24,4.037,0.9441147378832839
M1041,USSR_Cosmos-3M_L1970_056,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Technology Demo,Technology Demo,1394.0,MEO,MEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,213.0,152797,0,No AI Used in Mission,6.54,3.524,0.8824034334763948
M1042,USSR_Proton_L1970_078,1970,Cold War,Proton,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,882.0,GTO,GTO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,225.6,255782,0,No AI Used in Mission,3.91,3.138,0.8824034334763948
M1043,USA_FalconHeavy_L1970_008,1970,Cold War,Falcon Heavy,USA,USA,Private,1,Comm Satellite,Comm Satellite,7969.0,Polar,Polar,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,126.1,15823,0,No AI Used in Mission,63.2,9.23,0.9441147378832839
M1044,USSR_Soyuz_L1970_049,1970,Cold War,Soyuz,USSR,USSR,Government,0,Crew Module,Crew Module,7594.0,MEO,MEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,101.9,13418,0,No AI Used in Mission,74.52,8.613,0.8824034334763948
M1045,USSR_Soyuz_L1970_050,1970,Cold War,Soyuz,USSR,USSR,Government,0,Military Sat,Military Sat,5390.0,MEO,MEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,123.3,22875,0,No AI Used in Mission,43.71,6.622999999999999,0.8824034334763948
M1046,USSR_Zenit_L1970_026,1970,Cold War,Zenit,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,3514.0,TLI,TLI,Baikonur LC-81,1,1,No Failure,0,0,0,0,257.5,73278,0,No AI Used in Mission,13.65,6.089,0.8824034334763948
M1047,USSR_Zenit_L1970_012,1970,Cold War,Zenit,USSR,USSR,Government,0,Technology Demo,Technology Demo,976.0,MEO,MEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,199.7,204610,0,No AI Used in Mission,4.89,2.973,0.8824034334763948
M1048,USSR_Zenit_L1970_051,1970,Cold War,Zenit,USSR,USSR,Government,0,Crew Module,Crew Module,3288.0,GEO,GEO,Baikonur Site 1,0,0,Range Safety,0,0,0,0,228.7,69556,0,No AI Used in Mission,14.38,5.574999999999999,0.8824034334763948
M1049,USA_DeltaIV_L1970_030,1970,Cold War,Delta IV,USA,USA,Government,0,Science Probe,Science Probe,7915.0,GEO,GEO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,128.3,16209,0,No AI Used in Mission,61.69,9.198,0.9441147378832839
M1050,USSR_Soyuz_L1970_031,1970,Cold War,Soyuz,USSR,USSR,Government,0,Science Probe,Science Probe,5478.0,GEO,GEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,154.7,28240,0,No AI Used in Mission,35.41,7.0249999999999995,0.8824034334763948
M1051,USSR_Cosmos-3M_L1970_058,1970,Cold War,Cosmos-3M,USSR,USSR,Government,0,Crew Module,Crew Module,1450.0,LEO,LEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,149.1,102827,0,No AI Used in Mission,9.73,2.941,0.8824034334763948
M1052,USSR_Cosmos-3M_L1971_061,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Military Sat,Military Sat,1953.0,GTO,GTO,Baikonur LC-81,1,1,No Failure,0,0,0,0,135.5,69380,0,No AI Used in Mission,14.41,3.308,0.8824034334763948
M1053,USSR_Cosmos-3M_L1971_075,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,7574.0,SSO,SSO,Baikonur LC-81,1,1,No Failure,0,0,0,0,135.4,17876,0,No AI Used in Mission,55.94,8.928,0.8824034334763948
M1054,USA_Falcon9_L1971_027,1971,Cold War,Falcon 9,USA,USA,Private,1,Navigation Sat,Navigation Sat,335.0,GEO,GEO,Vandenberg SLC-4E,1,1,No Failure,0,0,0,0,153.9,459403,0,No AI Used in Mission,2.18,1.874,0.9441147378832839
M1055,USSR_Zenit_L1971_018,1971,Cold War,Zenit,USSR,USSR,Government,0,Earth Observation,Earth Observation,2718.0,Polar,Polar,Plesetsk LC-132,1,1,No Failure,0,0,0,0,86.0,31640,0,No AI Used in Mission,31.6,3.578,0.8824034334763948
M1056,USSR_Proton_L1971_033,1971,Cold War,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,3192.0,LEO,LEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,69.5,21773,0,No AI Used in Mission,45.93,3.887,0.8824034334763948
M1057,USSR_Zenit_L1971_009,1971,Cold War,Zenit,USSR,USSR,Government,0,Earth Observation,Earth Observation,3545.0,HEO,HEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,168.4,47503,0,No AI Used in Mission,21.05,5.229,0.8824034334763948
M1058,USSR_Zenit_L1971_079,1971,Cold War,Zenit,USSR,USSR,Government,0,Crew Module,Crew Module,1869.0,MEO,MEO,Baikonur Site 1,0,0,Upper Stage Failure,0,0,0,0,52.5,28089,0,No AI Used in Mission,35.6,2.394,0.8824034334763948
M1059,USSR_Soyuz_L1971_072,1971,Cold War,Soyuz,USSR,USSR,Government,0,Military Sat,Military Sat,1016.0,Polar,Polar,Baikonur LC-81,0,0,Structural Failure,0,0,0,0,156.5,154035,0,No AI Used in Mission,6.49,2.581,0.8824034334763948
M1060,USSR_Proton_L1971_050,1971,Cold War,Proton,USSR,USSR,Government,0,Earth Observation,Earth Observation,758.0,HEO,HEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,94.7,124934,0,No AI Used in Mission,8.0,1.705,0.8824034334763948
M1061,USSR_Zenit_L1971_083,1971,Cold War,Zenit,USSR,USSR,Government,0,Science Probe,Science Probe,1361.0,GEO,GEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,132.0,96987,0,No AI Used in Mission,10.31,2.681,0.8824034334763948
M1062,USSR_Cosmos-3M_L1971_048,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Resupply,Resupply,2158.0,LEO,LEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,100.6,46617,0,No AI Used in Mission,21.45,3.1639999999999997,0.8824034334763948
M1063,USSR_Soyuz_L1971_017,1971,Cold War,Soyuz,USSR,USSR,Government,0,Military Sat,Military Sat,6230.0,GEO,GEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,226.4,36340,0,No AI Used in Mission,27.52,8.494,0.8824034334763948
M1064,USA_DeltaII_L1971_003,1971,Cold War,Delta II,USA,USA,Government,0,Military Sat,Military Sat,241.0,Polar,Polar,Cape Canaveral SLC-40,0,0,Engine Failure,0,0,0,0,100.2,415767,0,No AI Used in Mission,2.41,1.2429999999999999,0.9441147378832839
M1065,USSR_Cosmos-3M_L1971_023,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Technology Demo,Technology Demo,5318.0,MEO,MEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,164.7,30970,0,No AI Used in Mission,32.29,6.965,0.8824034334763948
M1066,USSR_Soyuz_L1971_060,1971,Cold War,Soyuz,USSR,USSR,Government,0,Technology Demo,Technology Demo,2264.0,GTO,GTO,Baikonur LC-81,1,1,No Failure,0,0,0,0,113.0,49911,0,No AI Used in Mission,20.04,3.3939999999999997,0.8824034334763948
M1067,USSR_Cosmos-3M_L1971_073,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Resupply,Resupply,1137.0,ISS,ISS,Baikonur LC-81,1,1,No Failure,0,0,0,0,89.9,79067,0,No AI Used in Mission,12.65,2.036,0.8824034334763948
M1068,USSR_Proton_L1971_014,1971,Cold War,Proton,USSR,USSR,Government,0,Resupply,Resupply,5830.0,MEO,MEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,108.6,18627,0,No AI Used in Mission,53.68,6.916,0.8824034334763948
M1069,USSR_Cosmos-3M_L1971_049,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,1368.0,GEO,GEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,153.3,112061,0,No AI Used in Mission,8.92,2.9010000000000002,0.8824034334763948
M1070,USA_NewGlenn_L1971_001,1971,Cold War,New Glenn,USA,USA,Government,0,Resupply,Resupply,1024.0,SSO,SSO,Cape Canaveral SLC-40,1,1,No Failure,0,0,0,0,92.1,89941,0,No AI Used in Mission,11.12,1.9449999999999998,0.9441147378832839
M1071,USSR_Zenit_L1971_019,1971,Cold War,Zenit,USSR,USSR,Government,0,Comm Satellite,Comm Satellite,6957.0,GEO,GEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,71.6,10291,0,No AI Used in Mission,97.16,7.673,0.8824034334763948
M1072,USSR_Zenit_L1971_037,1971,Cold War,Zenit,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,3670.0,HEO,HEO,Baikonur Site 1,0,0,Range Safety,0,0,0,0,169.5,46185,0,No AI Used in Mission,21.65,5.365,0.8824034334763948
M1073,USA_NewGlenn_L1971_016,1971,Cold War,New Glenn,USA,USA,Private,1,Technology Demo,Technology Demo,2450.0,GTO,GTO,Cape Canaveral LC-41,1,1,No Failure,0,0,0,0,98.4,40163,0,No AI Used in Mission,24.9,3.434,0.9441147378832839
M1074,USSR_Soyuz_L1971_065,1971,Cold War,Soyuz,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,7849.0,MEO,MEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,105.2,13403,0,No AI Used in Mission,74.61,8.901,0.8824034334763948
M1075,USA_DeltaIV_L1971_017,1971,Cold War,Delta IV,USA,USA,Private,1,Weather Satellite,Weather Satellite,4241.0,HEO,HEO,Kennedy LC-39A,1,1,No Failure,0,0,0,0,246.2,58052,0,No AI Used in Mission,17.23,6.702999999999999,0.9441147378832839
M1076,USSR_Cosmos-3M_L1971_039,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Crew Module,Crew Module,5546.0,Polar,Polar,Baikonur LC-81,1,1,No Failure,0,0,0,0,191.7,34565,0,No AI Used in Mission,28.93,7.463,0.8824034334763948
M1077,USSR_Zenit_L1971_031,1971,Cold War,Zenit,USSR,USSR,Government,0,Navigation Sat,Navigation Sat,1926.0,GTO,GTO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,130.0,67497,0,No AI Used in Mission,14.82,3.226,0.8824034334763948
M1078,USSR_Cosmos-3M_L1971_051,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2297.0,HEO,HEO,Plesetsk LC-132,1,1,No Failure,0,0,0,0,168.4,73313,0,No AI Used in Mission,13.64,3.9810000000000003,0.8824034334763948
M1079,USSR_Soyuz_L1971_030,1971,Cold War,Soyuz,USSR,USSR,Government,0,Crew Module,Crew Module,3156.0,LEO,LEO,Baikonur Site 1,0,0,Range Safety,0,0,0,0,233.7,74049,0,No AI Used in Mission,13.5,5.493,0.8824034334763948
M1080,USSR_Zenit_L1971_047,1971,Cold War,Zenit,USSR,USSR,Government,0,Military Sat,Military Sat,7820.0,ISS,ISS,Baikonur LC-81,1,1,No Failure,0,0,0,0,169.8,21713,0,No AI Used in Mission,46.05,9.518,0.8824034334763948
M1081,USSR_Molniya_L1971_052,1971,Cold War,Molniya,USSR,USSR,Government,0,Resupply,Resupply,3550.0,HEO,HEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,241.5,68028,0,No AI Used in Mission,14.7,5.965,0.8824034334763948
M1082,USSR_Cosmos-3M_L1971_012,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Weather Satellite,Weather Satellite,2098.0,MEO,MEO,Baikonur Site 1,1,1,No Failure,0,0,0,0,162.8,77597,0,No AI Used in Mission,12.89,3.726,0.8824034334763948
M1083,USSR_Cosmos-3M_L1971_013,1971,Cold War,Cosmos-3M,USSR,USSR,Government,0,Earth Observation,Earth Observation,1747.0,MEO,MEO,Baikonur LC-81,1,1,No Failure,0,0,0,0,190.1,108815,0,No AI Used in Mission,9.19,3.648,0.8824034334763948
